ward,precinct,office,district,party,candidate,votes
8,133,President,,DEM,DENNIS J. KUCINICH ,0
8,133,President,,DEM,HILLARY CLINTON ,75
8,133,President,,DEM,BARACK OBAMA ,445
8,133,President,,DEM,UNCOMMITTED ,2
8,133,President,,DEM,Write-ins,0
8,133,President,,DEM,Total,523
8,133,President,,REP,MIKE HUCKABEE ,3
8,133,President,,REP,MITT ROMNEY ,2
8,133,President,,REP,JOHN MCCAIN ,4
8,133,President,,REP,RON PAUL ,0
8,133,President,,REP,RUDY GIULIANI ,0
8,133,President,,REP,Total,9
8,134,President,,DEM,BILL RICHARDSON ,0
8,134,President,,DEM,JOHN EDWARDS ,0
8,134,President,,DEM,DENNIS J. KUCINICH ,1
8,134,President,,DEM,HILLARY CLINTON ,90
8,134,President,,DEM,BARACK OBAMA ,441
8,134,President,,DEM,UNCOMMITTED ,1
8,134,President,,DEM,Write-ins,0
8,134,President,,DEM,Total,533
8,134,President,,REP,MIKE HUCKABEE ,1
8,134,President,,REP,MITT ROMNEY ,1
8,134,President,,REP,JOHN MCCAIN ,1
8,134,President,,REP,RON PAUL ,0
8,134,President,,REP,RUDY GIULIANI ,1
8,134,President,,REP,Total,4
5,135,President,,DEM,BILL RICHARDSON ,2
5,135,President,,DEM,JOHN EDWARDS ,3
5,135,President,,DEM,DENNIS J. KUCINICH ,3
5,135,President,,DEM,HILLARY CLINTON ,185
5,135,President,,DEM,BARACK OBAMA ,843
5,135,President,,DEM,UNCOMMITTED ,3
5,135,President,,DEM,Write-ins,0
5,135,President,,DEM,Total,1039
5,135,President,,REP,MIKE HUCKABEE ,6
5,135,President,,REP,MITT ROMNEY ,0
5,135,President,,REP,JOHN MCCAIN ,13
5,135,President,,REP,RON PAUL ,0
5,135,President,,REP,RUDY GIULIANI ,0
5,135,President,,REP,Total,19
1,136,President,,DEM,BILL RICHARDSON ,0
1,136,President,,DEM,JOHN EDWARDS ,2
1,136,President,,DEM,DENNIS J. KUCINICH ,1
1,136,President,,DEM,HILLARY CLINTON ,159
1,136,President,,DEM,BARACK OBAMA ,238
1,136,President,,DEM,UNCOMMITTED ,0
1,136,President,,DEM,Write-ins,0
1,136,President,,DEM,Total,400
1,136,President,,REP,MIKE HUCKABEE ,5
1,136,President,,REP,MITT ROMNEY ,3
1,136,President,,REP,JOHN MCCAIN ,23
1,136,President,,REP,RON PAUL ,3
1,136,President,,REP,RUDY GIULIANI ,0
1,136,President,,REP,Total,34
1,137,President,,DEM,BILL RICHARDSON ,0
1,137,President,,DEM,JOHN EDWARDS ,0
1,137,President,,DEM,DENNIS J. KUCINICH ,0
1,137,President,,DEM,HILLARY CLINTON ,84
1,137,President,,DEM,BARACK OBAMA ,258
1,137,President,,DEM,UNCOMMITTED ,1
1,137,President,,DEM,Write-ins,0
1,137,President,,DEM,Total,343
1,137,President,,REP,MIKE HUCKABEE ,2
1,137,President,,REP,MITT ROMNEY ,0
1,137,President,,REP,JOHN MCCAIN ,6
1,137,President,,REP,RON PAUL ,1
1,137,President,,REP,RUDY GIULIANI ,0
1,137,President,,REP,Total,9
3,138,President,,DEM,BILL RICHARDSON ,1
3,138,President,,DEM,JOHN EDWARDS ,5
3,138,President,,DEM,DENNIS J. KUCINICH ,2
3,138,President,,DEM,HILLARY CLINTON ,339
3,138,President,,DEM,BARACK OBAMA ,684
3,138,President,,DEM,UNCOMMITTED ,1
3,138,President,,DEM,Write-ins,0
3,138,President,,DEM,Total,1032
3,138,President,,REP,MIKE HUCKABEE ,20
3,138,President,,REP,MITT ROMNEY ,7
3,138,President,,REP,JOHN MCCAIN ,72
3,138,President,,REP,RON PAUL ,8
3,138,President,,REP,RUDY GIULIANI ,1
3,138,President,,REP,Total,108
5,139,President,,DEM,BILL RICHARDSON ,1
5,139,President,,DEM,JOHN EDWARDS ,0
5,139,President,,DEM,DENNIS J. KUCINICH ,2
5,139,President,,DEM,HILLARY CLINTON ,133
5,139,President,,DEM,BARACK OBAMA ,708
5,139,President,,DEM,UNCOMMITTED ,4
5,139,President,,DEM,Write-ins,1
5,139,President,,DEM,Total,849
5,139,President,,REP,MIKE HUCKABEE ,3
5,139,President,,REP,MITT ROMNEY ,2
5,139,President,,REP,JOHN MCCAIN ,2
5,139,President,,REP,RON PAUL ,1
5,139,President,,REP,RUDY GIULIANI ,0
5,139,President,,REP,Total,8
8,140,President,,DEM,BILL RICHARDSON ,0
8,140,President,,DEM,JOHN EDWARDS ,4
8,140,President,,DEM,DENNIS J. KUCINICH ,0
8,140,President,,DEM,HILLARY CLINTON ,77
8,140,President,,DEM,BARACK OBAMA ,508
8,140,President,,DEM,UNCOMMITTED ,1
8,140,President,,DEM,Write-ins,0
8,140,President,,DEM,Total,590
8,140,President,,REP,MIKE HUCKABEE ,7
8,140,President,,REP,MITT ROMNEY ,0
8,140,President,,REP,JOHN MCCAIN ,5
8,140,President,,REP,RON PAUL ,0
8,140,President,,REP,RUDY GIULIANI ,0
8,140,President,,REP,Total,12
2,141,President,,DEM,BILL RICHARDSON ,2
2,141,President,,DEM,JOHN EDWARDS ,3
2,141,President,,DEM,DENNIS J. KUCINICH ,0
2,141,President,,DEM,HILLARY CLINTON ,359
2,141,President,,DEM,BARACK OBAMA ,594
2,141,President,,DEM,UNCOMMITTED ,2
2,141,President,,DEM,Write-ins,0
2,141,President,,DEM,Total,960
2,141,President,,REP,MIKE HUCKABEE ,3
2,141,President,,REP,MITT ROMNEY ,5
2,141,President,,REP,JOHN MCCAIN ,33
2,141,President,,REP,RON PAUL ,1
2,141,President,,REP,RUDY GIULIANI ,2
2,141,President,,REP,Total,44
6,142,President,,DEM,BILL RICHARDSON ,1
6,142,President,,DEM,JOHN EDWARDS ,1
6,142,President,,DEM,DENNIS J. KUCINICH ,1
6,142,President,,DEM,HILLARY CLINTON ,166
6,142,President,,DEM,BARACK OBAMA ,452
6,142,President,,DEM,UNCOMMITTED ,2
6,142,President,,DEM,Write-ins,0
6,142,President,,DEM,Total,623
6,142,President,,REP,MIKE HUCKABEE ,6
6,142,President,,REP,MITT ROMNEY ,4
6,142,President,,REP,JOHN MCCAIN ,33
6,142,President,,REP,RON PAUL ,6
6,142,President,,REP,RUDY GIULIANI ,0
6,142,President,,REP,Total,49
6,143,President,,DEM,BILL RICHARDSON ,0
6,143,President,,DEM,JOHN EDWARDS ,0
6,143,President,,DEM,DENNIS J. KUCINICH ,0
6,143,President,,DEM,HILLARY CLINTON ,1
6,143,President,,DEM,BARACK OBAMA ,3
6,143,President,,DEM,UNCOMMITTED ,0
6,143,President,,DEM,Write-ins,0
6,143,President,,DEM,Total,4
6,143,President,,REP,MIKE HUCKABEE ,0
6,143,President,,REP,MITT ROMNEY ,0
6,143,President,,REP,JOHN MCCAIN ,0
6,143,President,,REP,RON PAUL ,0
6,143,President,,REP,RUDY GIULIANI ,0
6,143,President,,REP,Total,0
