Precinct 1,"",""
Registration & Turnout ,"","3,373"
"Write In, if any ",24 ,0.97%
Total... ,"2,484 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,2027 ,89.89%
SGN - ADAM EIDINGER ,215 ,9.53%
"Write In, if any ",13 ,0.58%
Total... ,"2,255 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,780 ,31.81%
HUGH ALLEN ,117 ,4.77%
TOM DAWSON ,233 ,9.50%
DAVID A. JORDAN ,28 ,1.14%
LAURA McGIFFERT SLOVER ,389 ,15.86%
VICTOR REINOSO ,780 ,31.81%
MAI ABDUL RAHMAN ,118 ,4.81%
"Write In, if any ",7 ,0.29%
Total... ,"2,452 ",100.00%
Precinct 63,"",""
Registration & Turnout ,"","3,493"
Election Day Turnout ,2087 ,59.75%
Absentee Turnout ,193 ,5.53%
Total... ,"2,280 ",65.27%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2104 ,92.85%
SGN - COBB/LaMARCHE ,14 ,0.62%
LIB - BADNARIK/CAMPAGNA ,3 ,0.13%
SWP - HARRIS/TROWE ,1 ,0.04%
REP - BUSH/CHENEY ,122 ,5.38%
IND - NADER/CAMEJO ,14 ,0.62%
"Write In, if any ",8 ,0.35%
Total... ,"2,266 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2119 ,96.10%
REP - MICHAEL ANDREW MONROE ,79 ,3.58%
"Write In, if any ",7 ,0.32%
Total... ,"2,205 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,867 ,28.09%
SGN - LAURENT ROSS ,260 ,8.43%
DEM - KWAME R. BROWN ,1828 ,59.24%
IND - A.D. ''TONY'' DOMINGUEZ ,118 ,3.82%
"Write In, if any ",13 ,0.42%
Total... ,"3,086 ",100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,2095 ,98.36%
"Write In, if any ",35 ,1.64%
Total... ,"2,130 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1743 ,86.80%
SGN - ADAM EIDINGER ,254 ,12.65%
"Write In, if any ",11 ,0.55%
Total... ,"2,008 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,683 ,32.80%
HUGH ALLEN ,156 ,7.49%
TOM DAWSON ,86 ,4.13%
DAVID A. JORDAN ,30 ,1.44%
LAURA McGIFFERT SLOVER ,124 ,5.96%
VICTOR REINOSO ,854 ,41.02%
MAI ABDUL RAHMAN ,139 ,6.68%
"Write In, if any ",10 ,0.48%
Total... ,"2,082 ",100.00%
Precinct 64,"",""
Registration & Turnout ,"","2,666"
Election Day Turnout ,1502 ,56.34%
Absentee Turnout ,117 ,4.39%
Total... ,"1,619 ",60.73%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1520 ,95.00%
SGN - COBB/LaMARCHE ,1 ,0.06%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,74 ,4.63%
IND - NADER/CAMEJO ,3 ,0.19%
"Write In, if any ",2 ,0.13%
Total... ,"1,600 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1525 ,96.83%
REP - MICHAEL ANDREW MONROE ,44 ,2.79%
"Write In, if any ",6 ,0.38%
Total... ,"1,575 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,618 ,28.58%
SGN - LAURENT ROSS ,117 ,5.41%
DEM - KWAME R. BROWN ,1347 ,62.30%
IND - A.D. ''TONY'' DOMINGUEZ ,70 ,3.24%
"Write In, if any ",10 ,0.46%
Total... ,"2,162 ",100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,1522 ,99.28%
"Write In, if any ",11 ,0.72%
Total... ,"1,533 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1359 ,93.79%
SGN - ADAM EIDINGER ,81 ,5.59%
"Write In, if any ",9 ,0.62%
Total... ,"1,449 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,608 ,41.08%
HUGH ALLEN ,84 ,5.68%
TOM DAWSON ,117 ,7.91%
DAVID A. JORDAN ,27 ,1.82%
LAURA McGIFFERT SLOVER ,51 ,3.45%
VICTOR REINOSO ,516 ,34.86%
MAI ABDUL RAHMAN ,69 ,4.66%
"Write In, if any ",8 ,0.54%
Total... ,"1,480 ",100.00%
Precinct 65,"",""
Registration & Turnout ,"","2,961"
Election Day Turnout ,1738 ,58.70%
Absentee Turnout ,135 ,4.56%
Total... ,"1,873 ",63.26%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1782 ,95.96%
SGN - COBB/LaMARCHE ,1 ,0.05%
LIB - BADNARIK/CAMPAGNA ,1 ,0.05%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,66 ,3.55%
IND - NADER/CAMEJO ,3 ,0.16%
"Write In, if any ",4 ,0.22%
Total... ,"1,857 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1795 ,97.55%
REP - MICHAEL ANDREW MONROE ,41 ,2.23%
"Write In, if any ",4 ,0.22%
Total... ,"1,840 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,742 ,29.92%
SGN - LAURENT ROSS ,87 ,3.51%
DEM - KWAME R. BROWN ,1561 ,62.94%
IND - A.D. ''TONY'' DOMINGUEZ ,80 ,3.23%
"Write In, if any ",10 ,0.40%
Total... ,"2,480 ",100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,1790 ,99.50%
"Write In, if any ",9 ,0.50%
Total... ,"1,799 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1613 ,94.11%
SGN - ADAM EIDINGER ,91 ,5.31%
"Write In, if any ",10 ,0.58%
Total... ,"1,714 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,948 ,54.05%
HUGH ALLEN ,231 ,13.17%
TOM DAWSON ,138 ,7.87%
DAVID A. JORDAN ,40 ,2.28%
LAURA McGIFFERT SLOVER ,74 ,4.22%
VICTOR REINOSO ,277 ,15.79%
MAI ABDUL RAHMAN ,40 ,2.28%
"Write In, if any ",6 ,0.34%
Total... ,"1,754 ",100.00%
recinct 67,"",""
egistration & Turnout ,"","3,384"
Election Day Turnout ,2060 ,60.87%
Absentee Turnout ,181 ,5.35%
Total... ,"2,241 ",66.22%
LECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2074 ,93.63%
SGN - COBB/LaMARCHE ,7 ,0.32%
LIB - BADNARIK/CAMPAGNA ,1 ,0.05%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,120 ,5.42%
IND - NADER/CAMEJO ,9 ,0.41%
"Write In, if any ",4 ,0.18%
Total... ,"2,215 ",100.00%
ELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2093 ,95.70%
REP - MICHAEL ANDREW MONROE ,85 ,3.89%
"Write In, if any ",9 ,0.41%
Total... ,"2,187 ",100.00%
T-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,943 ,29.56%
SGN - LAURENT ROSS ,212 ,6.65%
DEM - KWAME R. BROWN ,1882 ,59.00%
IND - A.D. ''TONY'' DOMINGUEZ ,139 ,4.36%
"Write In, if any ",14 ,0.44%
Total... ,"3,190 ",100.00%
NITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1870 ,91.49%
SGN - ADAM EIDINGER ,165 ,8.07%
"Write In, if any ",9 ,0.44%
Total... ,"2,044 ",100.00%
Precinct 66,"",""
Registration & Turnout ,"","4,764"
Election Day Turnout ,2851 ,59.84%
Absentee Turnout ,244 ,5.12%
Total... ,"3,095 ",64.97%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2919 ,95.17%
SGN - COBB/LaMARCHE ,4 ,0.13%
LIB - BADNARIK/CAMPAGNA ,3 ,0.10%
SWP - HARRIS/TROWE ,2 ,0.07%
REP - BUSH/CHENEY ,130 ,4.24%
IND - NADER/CAMEJO ,6 ,0.20%
"Write In, if any ",3 ,0.10%
Total... ,"3,067 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2938 ,96.84%
REP - MICHAEL ANDREW MONROE ,85 ,2.80%
"Write In, if any ",11 ,0.36%
Total... ,"3,034 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1022 ,24.59%
SGN - LAURENT ROSS ,292 ,7.02%
DEM - KWAME R. BROWN ,2709 ,65.17%
IND - A.D. ''TONY'' DOMINGUEZ ,124 ,2.98%
"Write In, if any ",10 ,0.24%
Total... ,"4,157 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,2689 ,94.98%
SGN - ADAM EIDINGER ,132 ,4.66%
"Write In, if any ",10 ,0.35%
Total... ,"2,831 ",100.00%
Precinct 69,"",""
Registration & Turnout ,"","2,419"
Election Day Turnout ,1338 ,55.31%
Absentee Turnout ,147 ,6.08%
Total... ,"1,485 ",61.39%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1374 ,94.11%
SGN - COBB/LaMARCHE ,2 ,0.14%
LIB - BADNARIK/CAMPAGNA ,1 ,0.07%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,75 ,5.14%
IND - NADER/CAMEJO ,7 ,0.48%
"Write In, if any ",1 ,0.07%
Total... ,"1,460 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1393 ,96.40%
REP - MICHAEL ANDREW MONROE ,46 ,3.18%
"Write In, if any ",6 ,0.42%
Total... ,"1,445 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,676 ,31.96%
SGN - LAURENT ROSS ,130 ,6.15%
DEM - KWAME R. BROWN ,1224 ,57.87%
IND - A.D. ''TONY'' DOMINGUEZ ,77 ,3.64%
"Write In, if any ",8 ,0.38%
Total... ,"2,115 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1208 ,90.15%
SGN - ADAM EIDINGER ,112 ,8.36%
"Write In, if any ",20 ,1.49%
Total... ,"1,340 ",100.00%
Precinct 68,"",""
Registration & Turnout ,"","2,316"
Election Day Turnout ,1298 ,56.04%
Absentee Turnout ,121 ,5.22%
Total... ,"1,419 ",61.27%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1242 ,88.65%
SGN - COBB/LaMARCHE ,7 ,0.50%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,133 ,9.49%
IND - NADER/CAMEJO ,12 ,0.86%
"Write In, if any ",7 ,0.50%
Total... ,"1,401 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1238 ,90.96%
REP - MICHAEL ANDREW MONROE ,112 ,8.23%
"Write In, if any ",11 ,0.81%
Total... ,"1,361 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,656 ,32.56%
SGN - LAURENT ROSS ,171 ,8.49%
DEM - KWAME R. BROWN ,1063 ,52.75%
IND - A.D. ''TONY'' DOMINGUEZ ,113 ,5.61%
"Write In, if any ",12 ,0.60%
Total... ,"2,015 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1058 ,84.91%
SGN - ADAM EIDINGER ,178 ,14.29%
"Write In, if any ",10 ,0.80%
Total... ,"1,246 ",100.00%
Precinct 70,"",""
Registration & Turnout ,"","1,71"
Election Day Turnout ,981 ,57.10
Absentee Turnout ,67 ,3.90
Total... ,"1,048 ",61.00
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final
DEM - KERRY/EDWARDS ,971 ,92.83
SGN - COBB/LaMARCHE ,5 ,0.48
LIB - BADNARIK/CAMPAGNA ,0 ,0.00
SWP - HARRIS/TROWE ,2 ,0.19
REP - BUSH/CHENEY ,58 ,5.54
IND - NADER/CAMEJO ,10 ,0.96
"Write In, if any ",0 ,0.00
Total... ,"1,046 ",100.00
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final
DEM - ELEANOR HOLMES NORTON ,980 ,95.33
REP - MICHAEL ANDREW MONROE ,46 ,4.47
"Write In, if any ",2 ,0.19
Total... ,"1,028 ",100.00
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final
REP - CAROL SCHWARTZ ,379 ,26.80
SGN - LAURENT ROSS ,105 ,7.43
DEM - KWAME R. BROWN ,851 ,60.18
IND - A.D. ''TONY'' DOMINGUEZ ,74 ,5.23
"Write In, if any ",5 ,0.35
Total... ,"1,414 ",100.00
UNITED STATES REPRESENTATIVE ,"",(Final
DEM - RAY BROWNE ,842 ,89.01
SGN - ADAM EIDINGER ,101 ,10.68
"Write In, if any ",3 ,0.32
Total... ,946 ,100.00
Precinct 71,"",""
Registration & Turnout ,"","2,862"
Election Day Turnout ,1501 ,52.45%
Absentee Turnout ,112 ,3.91%
Total... ,"1,613 ",56.36%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1492 ,93.25%
SGN - COBB/LaMARCHE ,5 ,0.31%
LIB - BADNARIK/CAMPAGNA ,1 ,0.06%
SWP - HARRIS/TROWE ,1 ,0.06%
REP - BUSH/CHENEY ,95 ,5.94%
IND - NADER/CAMEJO ,6 ,0.38%
"Write In, if any ",0 ,0.00%
Total... ,"1,600 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1528 ,97.14%
REP - MICHAEL ANDREW MONROE ,39 ,2.48%
"Write In, if any ",6 ,0.38%
Total... ,"1,573 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,593 ,27.76%
SGN - LAURENT ROSS ,135 ,6.32%
DEM - KWAME R. BROWN ,1313 ,61.47%
IND - A.D. ''TONY'' DOMINGUEZ ,89 ,4.17%
"Write In, if any ",6 ,0.28%
Total... ,"2,136 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1357 ,91.88%
SGN - ADAM EIDINGER ,116 ,7.85%
"Write In, if any ",4 ,0.27%
Total... ,"1,477 ",100.00%
Precinct 72,"",""
Registration & Turnout ,"","4,235"
Election Day Turnout ,2062 ,48.69%
Absentee Turnout ,219 ,5.17%
Total... ,"2,281 ",53.86%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2135 ,95.31%
SGN - COBB/LaMARCHE ,6 ,0.27%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,1 ,0.04%
REP - BUSH/CHENEY ,85 ,3.79%
IND - NADER/CAMEJO ,10 ,0.45%
"Write In, if any ",3 ,0.13%
Total... ,"2,240 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2145 ,97.41%
REP - MICHAEL ANDREW MONROE ,49 ,2.23%
"Write In, if any ",8 ,0.36%
Total... ,"2,202 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,777 ,26.21%
SGN - LAURENT ROSS ,136 ,4.59%
DEM - KWAME R. BROWN ,1924 ,64.91%
IND - A.D. ''TONY'' DOMINGUEZ ,112 ,3.78%
"Write In, if any ",15 ,0.51%
Total... ,"2,964 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1939 ,93.18%
SGN - ADAM EIDINGER ,131 ,6.30%
"Write In, if any ",11 ,0.53%
Total... ,"2,081 ",100.00%
Precinct 73,"",""
egistration & Turnout ,"","2,117"
Election Day Turnout ,1226 ,57.91%
Absentee Turnout ,119 ,5.62%
Total... ,"1,345 ",63.53%
LECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1217 ,91.50%
SGN - COBB/LaMARCHE ,9 ,0.68%
LIB - BADNARIK/CAMPAGNA ,1 ,0.08%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,84 ,6.32%
IND - NADER/CAMEJO ,15 ,1.13%
"Write In, if any ",4 ,0.30%
Total... ,"1,330 ",100.00%
ELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1207 ,93.13%
REP - MICHAEL ANDREW MONROE ,83 ,6.40%
"Write In, if any ",6 ,0.46%
Total... ,"1,296 ",100.00%
T-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,532 ,28.39%
SGN - LAURENT ROSS ,177 ,9.45%
DEM - KWAME R. BROWN ,1043 ,55.66%
IND - A.D. ''TONY'' DOMINGUEZ ,108 ,5.76%
"Write In, if any ",14 ,0.75%
Total... ,"1,874 ",100.00%
NITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1007 ,83.71%
SGN - ADAM EIDINGER ,186 ,15.46%
"Write In, if any ",10 ,0.83%
Total... ,"1,203 ",100.00%
Precinct 74,"",""
Registration & Turnout ,"","4,184"
Election Day Turnout ,2079 ,49.69%
Absentee Turnout ,162 ,3.87%
Total... ,"2,241 ",53.56%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2061 ,93.17%
SGN - COBB/LaMARCHE ,3 ,0.14%
LIB - BADNARIK/CAMPAGNA ,2 ,0.09%
SWP - HARRIS/TROWE ,4 ,0.18%
REP - BUSH/CHENEY ,128 ,5.79%
IND - NADER/CAMEJO ,11 ,0.50%
"Write In, if any ",3 ,0.14%
Total... ,"2,212 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2047 ,94.72%
REP - MICHAEL ANDREW MONROE ,109 ,5.04%
"Write In, if any ",5 ,0.23%
Total... ,"2,161 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,661 ,23.79%
SGN - LAURENT ROSS ,146 ,5.26%
DEM - KWAME R. BROWN ,1819 ,65.48%
IND - A.D. ''TONY'' DOMINGUEZ ,141 ,5.08%
"Write In, if any ",11 ,0.40%
Total... ,"2,778 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1859 ,91.49%
SGN - ADAM EIDINGER ,156 ,7.68%
"Write In, if any ",17 ,0.84%
Total... ,"2,032 ",100.00%
Precinct 75,"",""
Registration & Turnout ,"","3,085"
Election Day Turnout ,1417 ,45.93%
Absentee Turnout ,136 ,4.41%
Total... ,"1,553 ",50.34%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1459 ,95.11%
SGN - COBB/LaMARCHE ,9 ,0.59%
LIB - BADNARIK/CAMPAGNA ,4 ,0.26%
SWP - HARRIS/TROWE ,1 ,0.07%
REP - BUSH/CHENEY ,46 ,3.00%
IND - NADER/CAMEJO ,12 ,0.78%
"Write In, if any ",3 ,0.20%
Total... ,"1,534 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1454 ,96.74%
REP - MICHAEL ANDREW MONROE ,47 ,3.13%
"Write In, if any ",2 ,0.13%
Total... ,"1,503 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,439 ,23.09%
SGN - LAURENT ROSS ,123 ,6.47%
DEM - KWAME R. BROWN ,1246 ,65.54%
IND - A.D. ''TONY'' DOMINGUEZ ,78 ,4.10%
"Write In, if any ",15 ,0.79%
Total... ,"1,901 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1290 ,92.01%
SGN - ADAM EIDINGER ,104 ,7.42%
"Write In, if any ",8 ,0.57%
Total... ,"1,402 ",100.00%
recinct 76,"",""
egistration & Turnout ,"",878
Election Day Turnout ,398 ,45.33%
Absentee Turnout ,40 ,4.56%
Total... ,438 ,49.89%
LECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,410 ,94.91%
SGN - COBB/LaMARCHE ,0 ,0.00%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,1 ,0.23%
REP - BUSH/CHENEY ,19 ,4.40%
IND - NADER/CAMEJO ,1 ,0.23%
"Write In, if any ",1 ,0.23%
Total... ,432 ,100.00%
ELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,406 ,96.44%
REP - MICHAEL ANDREW MONROE ,15 ,3.56%
"Write In, if any ",0 ,0.00%
Total... ,421 ,100.00%
T-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,129 ,20.67%
SGN - LAURENT ROSS ,67 ,10.74%
DEM - KWAME R. BROWN ,371 ,59.46%
IND - A.D. ''TONY'' DOMINGUEZ ,50 ,8.01%
"Write In, if any ",7 ,1.12%
Total... ,624 ,100.00%
NITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,375 ,92.59%
SGN - ADAM EIDINGER ,29 ,7.16%
"Write In, if any ",1 ,0.25%
Total... ,405 ,100.00%
Precinct 77,"",""
Registration & Turnout ,"","3,037"
Election Day Turnout ,1502 ,49.46%
Absentee Turnout ,102 ,3.36%
Total... ,"1,604 ",52.82%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1512 ,95.88%
SGN - COBB/LaMARCHE ,3 ,0.19%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,1 ,0.06%
REP - BUSH/CHENEY ,55 ,3.49%
IND - NADER/CAMEJO ,6 ,0.38%
"Write In, if any ",0 ,0.00%
Total... ,"1,577 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1529 ,97.89%
REP - MICHAEL ANDREW MONROE ,30 ,1.92%
"Write In, if any ",3 ,0.19%
Total... ,"1,562 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,372 ,20.24%
SGN - LAURENT ROSS ,87 ,4.73%
DEM - KWAME R. BROWN ,1308 ,71.16%
IND - A.D. ''TONY'' DOMINGUEZ ,61 ,3.32%
"Write In, if any ",10 ,0.54%
Total... ,"1,838 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1334 ,93.88%
SGN - ADAM EIDINGER ,82 ,5.77%
"Write In, if any ",5 ,0.35%
Total... ,"1,421 ",100.00%
Precinct 78,"",""
egistration & Turnout ,"","2,667"
Election Day Turnout ,1308 ,49.04%
Absentee Turnout ,132 ,4.95%
Total... ,"1,440 ",53.99%
LECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1372 ,96.96%
SGN - COBB/LaMARCHE ,3 ,0.21%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,37 ,2.61%
IND - NADER/CAMEJO ,3 ,0.21%
"Write In, if any ",0 ,0.00%
Total... ,"1,415 ",100.00%
ELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1371 ,98.14%
REP - MICHAEL ANDREW MONROE ,24 ,1.72%
"Write In, if any ",2 ,0.14%
Total... ,"1,397 ",100.00%
T-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,364 ,20.54%
SGN - LAURENT ROSS ,135 ,7.62%
DEM - KWAME R. BROWN ,1182 ,66.70%
IND - A.D. ''TONY'' DOMINGUEZ ,77 ,4.35%
"Write In, if any ",14 ,0.79%
Total... ,"1,772 ",100.00%
NITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1236 ,94.93%
SGN - ADAM EIDINGER ,62 ,4.76%
"Write In, if any ",4 ,0.31%
Total... ,"1,302 ",100.00%
Precinct 79,"",""
Registration & Turnout ,"","2,081"
Election Day Turnout ,859 ,41.28%
Absentee Turnout ,103 ,4.95%
Total... ,962 ,46.23%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,900 ,95.64%
SGN - COBB/LaMARCHE ,3 ,0.32%
LIB - BADNARIK/CAMPAGNA ,2 ,0.21%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,34 ,3.61%
IND - NADER/CAMEJO ,2 ,0.21%
"Write In, if any ",0 ,0.00%
Total... ,941 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,901 ,96.57%
REP - MICHAEL ANDREW MONROE ,32 ,3.43%
"Write In, if any ",0 ,0.00%
Total... ,933 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,264 ,20.92%
SGN - LAURENT ROSS ,130 ,10.30%
DEM - KWAME R. BROWN ,770 ,61.01%
IND - A.D. ''TONY'' DOMINGUEZ ,89 ,7.05%
"Write In, if any ",9 ,0.71%
Total... ,"1,262 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,827 ,93.98%
SGN - ADAM EIDINGER ,49 ,5.57%
"Write In, if any ",4 ,0.45%
Total... ,880 ,100.00%
Precinct 81,"",""
Registration & Turnout ,"","5,094"
Election Day Turnout ,2493 ,48.94%
Absentee Turnout ,293 ,5.75%
Total... ,"2,786 ",54.69%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2553 ,92.77%
SGN - COBB/LaMARCHE ,2 ,0.07%
LIB - BADNARIK/CAMPAGNA ,3 ,0.11%
SWP - HARRIS/TROWE ,2 ,0.07%
REP - BUSH/CHENEY ,172 ,6.25%
IND - NADER/CAMEJO ,18 ,0.65%
"Write In, if any ",2 ,0.07%
Total... ,"2,752 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2529 ,93.88%
REP - MICHAEL ANDREW MONROE ,154 ,5.72%
"Write In, if any ",11 ,0.41%
